Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
,,,"(''Aaftab read up on murder trials, celeb cases on web after crime'', 'the times of india', '2022-12-01')",1-r->n-r,1-r,n-r,User Safety_Potential harm to user,,Online,https://timesofindia.indiatimes.com/city/delhi/shraddha-walkar-murder-case-aaftab-poonawala-took-cue-on-behaviour-from-infamous-murder-trials/articleshow/95896909.cms
5553,"« Il est temps de démanteler Facebook », plaide un ancien fondateur du réseau social","('« Il est temps de démanteler Facebook », plaide un ancien fondateur du réseau social', 'le monde', '2019-05-11')","('« Il est temps de démanteler Facebook », plaide un ancien fondateur du réseau social', 'le monde', '2019-05-11')",S->S,S,S,Social Media Platform_Unappropriate Behavior,,Facebook,https://www.lefigaro.fr/secteur/high-tech/il-est-temps-de-demanteler-facebook-d-apres-son-cofondateur-chris-hughes-20190509
,,,"('AMU alumnus' pic with Hizb operatives seen on social media', 'the times of india', '2018-04-25')",1-r->n-r,1-r,n-r,User Safety_Potential harm to user,,Social Media,https://www.kashmirnewsobserver.com/jammu-and-kashmir/amu-alumnus-pic-with-hizb-operatives-seen-on-social-media-kno-18542
44247,BUSINESS BEAT; Snap rebuts ex-worker's lawsuit claiming fraud; The Venice company dismisses claims that it misled investors over Snapchat usage.,"('BUSINESS BEAT; Snap rebuts ex-worker's lawsuit claiming fraud; The Venice company dismisses claims that it misled investors over Snapchat usage.', 'los angeles times', '2017-01-20')","('BUSINESS BEAT; Snap rebuts ex-worker's lawsuit claiming fraud; The Venice company dismisses claims that it misled investors over Snapchat usage.', 'los angeles times', '2017-01-20')",S->1-r,S,1-r,Social Media Platform_Unappropriate Behavior,Restricted from job/school,Snapchat,https://enewspaper.latimes.com/infinity/article_popover_share.aspx?guid=b3a4725c-6c32-4e94-bcc9-835ca3d1ab11
37572,"Facebook Accused in Amended Lawsuit of Knowing Ad Audiences Were Inflated; Social-media giant says estimates weren't guarantees, didn't harm customers; court filing includes employee worrying about possible lawsuit in email","('Facebook Accused in Amended Lawsuit of Knowing Ad Audiences Were Inflated; Social-media giant says estimates weren't guarantees, didn't harm customers; court filing includes employee worrying about possible lawsuit in email', 'wall street journal', '2020-03-20')","('Facebook Accused in Amended Lawsuit of Knowing Ad Audiences Were Inflated; Social-media giant says estimates weren't guarantees, didn't harm customers; court filing includes employee worrying about possible lawsuit in email', 'wall street journal', '2020-03-20')",S->n-r,S,n-r,Social Media Platform_Unappropriate Behavior,Legal Action,Facebook,https://www.cohenmilstein.com/facebook-accused-amended-lawsuit-knowing-ad-audiences-were-inflated-wall-street-journal/
39882,"From cage fights to hidden payments, the summer media meltdown is here","('From cage fights to hidden payments, the summer media meltdown is here', 'irish times', '2023-07-18')","('From cage fights to hidden payments, the summer media meltdown is here', 'irish times', '2023-07-18')",S->n-r,S,n-r,Social Media Platform_Technical Issue,Platform Reputation Damage,Twitter,https://www.irishtimes.com/media/2023/07/18/cage-fights-hidden-payments-and-actors-on-strike-the-summer-media-meltdown-is-complete/
,,,"('Home Office migrant raids fuel online row', 'the guardian', '2013-08-02')",1-i->n-r,1-i,n-r,User Safety_Potential harm to user,,Twitter,https://www.theguardian.com/uk-news/2013/aug/08/go-home-climate-of-fear-rights-groups
,,,"('I'm having an extramarital affair on Facebook', 'the times of india', '2016-03-06')",1-r->1-r,1-r,1-r,User Safety_Potential harm to user,,Facebook,https://timesofindia.indiatimes.com/life-style/relationships/ask-the-expert/im-having-an-extramarital-affair-on-facebook/articleshow/49830231.cms
2851,"Internet giants too big to govern, Macron warns","('Internet giants too big to govern, Macron warns', 'the daily telegraph', '2018-04-03')","('Internet giants too big to govern, Macron warns', 'the daily telegraph', '2018-04-03')",S->n-r,S,n-r,Social Media_독점,,"Facebook, Google",https://www.telegraph.co.uk/technology/2018/04/02/emmanuel-macron-compares-big-governed-google-facebook-oil-barons/
,,,"('My former lover has connected with my best friend online. Should I warn him off?', 'the guardian', '2016-04-01')",1-r->1-r,1-r,1-r,User Safety_Potential harm to user,,Facebook,https://www.theguardian.com/lifeandstyle/2016/apr/01/former-lover-connected-with-my-best-friend
