Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
3909,Face-changed' images cause stir online,"(''Face-changed' images cause stir online', 'people's daily ', '2019-02-27')","(''Face-changed' images cause stir online', 'people's daily ', '2019-02-27')",1-r->1-i,1-r,1-i,Deceptive & Fraudulent Behavior_Impersonation,,Bilibili (streaming site),http://en.chinaculture.org/2019-02/27/content_1353051.htm
43981,Maximum complaints with cyber police station related to social media',"(''Maximum complaints with cyber police station related to social media'', 'the times of india', '2017-05-22')","(''Maximum complaints with cyber police station related to social media'', 'the times of india', '2017-05-22')",1-i->1-r,1-i,1-r,Deceptive & Fraudulent Behavior_Fraud,Protective Measures,Online,https://timesofindia.indiatimes.com/city/nashik/maximum-complaints-with-cyber-police-station-related-to-social-media/articleshow/58779933.cms
48203,Sim swap' gives fraudsters access-all-areas via your mobile phone,"(''Sim swap' gives fraudsters access-all-areas via your mobile phone', 'the guardian', '2015-09-26')","(''Sim swap' gives fraudsters access-all-areas via your mobile phone', 'the guardian', '2015-09-26')",n-r->n-r,n-r,n-r,Deceptive & Fraudulent Behavior_Cybersecurity,Fraud,Email,https://www.theguardian.com/money/2015/sep/26/sim-swap-fraud-mobile-phone-vodafone-customer
38791,Thappad': Taapsee Pannu starrer gets leaked on the internet by Tamilrockers,"(''Thappad': Taapsee Pannu starrer gets leaked on the internet by Tamilrockers', 'the times of india', '2020-02-29')","(''Thappad': Taapsee Pannu starrer gets leaked on the internet by Tamilrockers', 'the times of india', '2020-02-29')",n-r->1-i,n-r,1-i,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/thappad-taapsee-pannu-starrer-gets-leaked-on-the-internet-by-tamilrockers/articleshow/74398101.cms
64714,"£25,000 stolen online. But even more shocking: Barclays washes its hands of it","('£25,000 stolen online. But even more shocking: Barclays washes its hands of it', 'the guardian', '2016-03-05')","('£25,000 stolen online. But even more shocking: Barclays washes its hands of it', 'the guardian', '2016-03-05')",1-r->n-r,1-r,n-r,Deceptive & Fraudulent Behavior_Fraud,,Online,https://www.theguardian.com/money/blog/2016/mar/05/scams-fraud-barclays-online-crime-prevent
55729,2 plead guilty in stabbing death tied to Facebook feud,"('2 plead guilty in stabbing death tied to Facebook feud', 'chicago tribune', '2017-09-12')","('2 plead guilty in stabbing death tied to Facebook feud', 'chicago tribune', '2017-09-12')",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Violent Behavior,Facebook,https://www.chicagotribune.com/2017/09/12/2-plead-guilty-in-stabbing-death-tied-to-facebook-feud/
37405,22-year-old arrested for morphing CM's photo on social media,"('22-year-old arrested for morphing CM's photo on social media', 'the hindustan times', '2020-04-24')","('22-year-old arrested for morphing CM's photo on social media', 'the hindustan times', '2020-04-24')",1-r->n-i,1-r,n-i,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.hindustantimes.com/mumbai-news/22-year-old-arrested-for-morphing-cm-s-photo-on-social-media/story-4z4QILM09eWmbDnlDm9AbL.html
39749,"58-year-old man loses Rs 31 lakh in online scam: Telegram, YouTube likes and more, here's how he was duped","('58-year-old man loses Rs 31 lakh in online scam: Telegram, YouTube likes and more, here's how he was duped', 'the times of india', '2023-07-25')","('58-year-old man loses Rs 31 lakh in online scam: Telegram, YouTube likes and more, here's how he was duped', 'the times of india', '2023-07-25')",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Telegram,https://timesofindia.indiatimes.com/gadgets-news/58-year-old-man-loses-rs-31-lakh-in-online-scam-telegram-youtube-likes-and-more-heres-how-he-was-duped/articleshow/102066874.cms
10442,"A Holocaust survivor fell for a woman online. Then he lost $2.8 million, feds say.","('A Holocaust survivor fell for a woman online. Then he lost $2.8 million, feds say.', 'the washington post', '2023-01-26')","('A Holocaust survivor fell for a woman online. Then he lost $2.8 million, feds say.', 'the washington post', '2023-01-26')",1-r->1-r,1-r,1-r,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online dating website,https://www.washingtonpost.com/nation/2023/01/26/holocaust-survivor-romance-scam-peaches-stergo/
17834,"A Media Personality, Suffering a Blow to His Image, Ponders a Lesson","('A Media Personality, Suffering a Blow to His Image, Ponders a Lesson', 'new york times', '2012-08-20')","('A Media Personality, Suffering a Blow to His Image, Ponders a Lesson', 'new york times', '2012-08-20')",1-i->1-i,1-i,1-i,Deceptive & Fraudulent Behavior_Intellectual Property,Restricted from job/school,News,https://www.nytimes.com/2012/08/20/business/media/scandal-threatens-fareed-zakarias-image-as-media-star.html?smid=tw-share
