Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
43058,Took these many years to win 1 World Cup': Twitter lashes out at Michael Vaughan for latest India dig,"(''Took these many years to win 1 World Cup': Twitter lashes out at Michael Vaughan for latest India dig', 'the hindustan times', '2021-07-02')","(''Took these many years to win 1 World Cup': Twitter lashes out at Michael Vaughan for latest India dig', 'the hindustan times', '2021-07-02')",1-i->n-i,1-i,n-i,Offensive & Objectionable Content_Hateful Content,Public Backlash,Twitter,https://www.hindustantimes.com/cricket/took-these-many-years-to-win-1-world-cup-twitter-lashes-out-at-michael-vaughan-for-latest-india-dig-101625202775120.html
64669,"""BS"", twittert der Tesla-Chef","('""BS"", twittert der Tesla-Chef', 'die welt', '2016-07-11')","('""BS"", twittert der Tesla-Chef', 'die welt', '2016-07-11')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content__Hateful Content,,Twitter,https://www.welt.de/wirtschaft/article156939425/Elon-Musk-nach-Unfaellen-erstaunlich-duennhaeutig.html
52805,Action will follow if you criticise govt on social media: Rajasthan DGP to cops,"('Action will follow if you criticise govt on social media: Rajasthan DGP to cops', 'the hindustan times', '2018-02-06')","('Action will follow if you criticise govt on social media: Rajasthan DGP to cops', 'the hindustan times', '2018-02-06')",n-r->1-i,n-r,1-i,Offensive & Objectionable Content_Hateful Content,Legal Action,Social Media,https://www.hindustantimes.com/jaipur/action-will-follow-if-you-criticise-govt-on-social-media-rajasthan-dgp-to-cops/story-E51gkyofpS4VtTuKXnJ7TK.html
53559,AfD verklärt hässliche Tweets zu heroischen Akten,"('AfD verklärt hässliche Tweets zu heroischen Akten', 'die welt', '2018-01-03')","('AfD verklärt hässliche Tweets zu heroischen Akten', 'die welt', '2018-01-03')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Hateful Content,Remove Content,Twitter,https://www.welt.de/politik/deutschland/article172108821/AfD-Gauland-verklaert-von-Storchs-und-Weidels-Tweets.html
38236,Arya slams a netizen for an offensive comment on her daughter; says 'don't know how to deal with a virus like you',"('Arya slams a netizen for an offensive comment on her daughter; says 'don't know how to deal with a virus like you'', 'the times of india', '2020-03-28')","('Arya slams a netizen for an offensive comment on her daughter; says 'don't know how to deal with a virus like you'', 'the times of india', '2020-03-28')",1-r->1-i,1-r,1-i,Offensive & Objectionable Content_Hateful Content,Public Message to Social Media,Social Media,https://timesofindia.indiatimes.com/tv/news/malayalam/arya-slams-a-netizen-for-an-offensive-comment-on-her-daughter-says-dont-know-how-to-deal-with-a-virus-like-you/articleshow/74848192.cms
1796,"As Alex Jones rails against ‘Big Tech,’ his Infowars stores still thrive online","('As Alex Jones rails against ‘Big Tech,’ his Infowars stores still thrive online', 'the washington post', '2018-09-10')","('As Alex Jones rails against ‘Big Tech,’ his Infowars stores still thrive online', 'the washington post', '2018-09-10')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content__Hateful Content,Banned from Social Media,"Twitter, Faceook",https://www.washingtonpost.com/technology/2018/09/10/alex-jones-rails-against-big-tech-his-infowars-stores-still-thrive-online/
2308,Backlash over sexist comments on Sky News as Hanson-Young goes to law,"('Backlash over sexist comments on Sky News as Hanson-Young goes to law', 'the guardian', '2018-07-02')","('Backlash over sexist comments on Sky News as Hanson-Young goes to law', 'the guardian', '2018-07-02')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content_Hateful Content,Public Apology,TV,https://www.theguardian.com/media/2018/jul/02/sarah-hanson-young-legal-advice-sky-news-sexist-progamme
7230,BBC Scotland drops shows featuring maker of dog Nazi salute video,"('BBC Scotland drops shows featuring maker of dog Nazi salute video', 'the guardian', '2019-03-04')","('BBC Scotland drops shows featuring maker of dog Nazi salute video', 'the guardian', '2019-03-04')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Hateful Content,Restricted from job/school,YouTube,https://www.theguardian.com/media/2019/mar/03/bbc-scotland-drops-shows-featuring-maker-of-dog-nazi-salute-video
37455,"Bolly Buzz: Kartik Aaryan slammed for portraying violence, Sonu Nigam takes over Twitter trends for no-fault and Sara Ali Khan turned poet on Earth Day","('Bolly Buzz: Kartik Aaryan slammed for portraying violence, Sonu Nigam takes over Twitter trends for no-fault and Sara Ali Khan turned poet on Earth Day', 'the times of india', '2020-04-23')","('Bolly Buzz: Kartik Aaryan slammed for portraying violence, Sonu Nigam takes over Twitter trends for no-fault and Sara Ali Khan turned poet on Earth Day', 'the times of india', '2020-04-23')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Graphic&Violent Content,Remove Content,Online,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/bolly-buzz-kartik-aaryan-slammed-for-portraying-violence-sonu-nigam-takes-over-twitter-trends-for-no-fault-and-sara-ali-khan-turns-poet-on-earth-day/articleshow/75298593.cms
37420,Bombay High Court orders blocking of objectionable video on social media,"('Bombay High Court orders blocking of objectionable video on social media', 'the hindustan times', '2020-05-24')","('Bombay High Court orders blocking of objectionable video on social media', 'the hindustan times', '2020-05-24')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Hateful Content,Legal Action,"Youtube, Facebook",https://www.hindustantimes.com/india-news/bombay-high-court-orders-blocking-of-objectionable-video-on-social-media/story-nyqCZt0FjN0myzWHem1u4L.html
