Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
41199,‘I didn’t know who to go to’: the desperate people trapped by loan sharks and illegal lenders on social media,"('‘I didn’t know who to go to’: the desperate people trapped by loan sharks and illegal lenders on social media', 'the guardian', '2022-02-21')","('‘I didn’t know who to go to’: the desperate people trapped by loan sharks and illegal lenders on social media', 'the guardian', '2022-02-21')",n-r->n-r,n-r,n-r,Regulated Goods & Services_Regulated Services,,"Facebook, Snapchat, Craiglist, Grindr",https://www.theguardian.com/money/2022/feb/21/i-didnt-know-who-to-go-to-the-desperate-people-trapped-by-loan-sharks-and-lenders-on-social-media,온라인 커뮤니티에서 불법 대출,,,,
35922,‘I would pay $50 for a 2-minute hug’: True stories of sex starvation during self-quarantine,"('‘I would pay $50 for a 2-minute hug’: True stories of sex starvation during self-quarantine', 'the washington post', '2020-04-16')","('‘I would pay $50 for a 2-minute hug’: True stories of sex starvation during self-quarantine', 'the washington post', '2020-04-16')",1-r->1-r,1-r,1-r,Regulated Goods & Services_Commercial Sexual Activity,,Online,https://www.washingtonpost.com/lifestyle/2020/04/16/sex-touch-quarantine-lockdown-social-distance-coronavirus/,,,,,
35694,"Bolly Buzz: Rhea Chakraborty's drug connection emerges, Mahesh Bhatt and Jiah Khan's old video goes viral","('Bolly Buzz: Rhea Chakraborty's drug connection emerges, Mahesh Bhatt and Jiah Khan's old video goes viral', 'the times of india', '2020-08-26')","('Bolly Buzz: Rhea Chakraborty's drug connection emerges, Mahesh Bhatt and Jiah Khan's old video goes viral', 'the times of india', '2020-08-26')",1-i->n-r,1-i,n-r,Regulated Goods & Services_Regulated Goods,,Whatsapp,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/bolly-buzz-rhea-chakrabortys-drug-connection-emerges-mahesh-bhatt-and-jiah-khans-old-video-goes-viral/articleshow/77745227.cms,,,,,
63553,Carpenter and electrician rig up guns using online videos,"('Carpenter and electrician rig up guns using online videos', 'the times of india', '2020-02-23')","('Carpenter and electrician rig up guns using online videos', 'the times of india', '2020-02-23')",S->n-r,S,n-r,Regulated Goods & Services_Regulated Goods,Legal Action,Youtube,https://timesofindia.indiatimes.com/city/navi-mumbai/carpenter-and-electrician-rig-up-guns-using-online-videos/articleshow/74252129.cms,,,,,
62283,Chandigarh: Gang involved in online delivery of drugs busted,"('Chandigarh: Gang involved in online delivery of drugs busted', 'the hindustan times', '2023-06-25')","('Chandigarh: Gang involved in online delivery of drugs busted', 'the hindustan times', '2023-06-25')",n-r->n-r,n-r,n-r,Regulated Goods & Services_Regulated Goods,Legal Action,Social Media,https://www.hindustantimes.com/cities/chandigarh-news/police-arrest-three-in-chandigarh-for-location-based-drug-delivery-recover-52-3g-heroin-from-possession-101687633329321.html,,,,,
64449,Coated manjas openly sold online,"('Coated manjas openly sold online', 'the times of india', '2017-01-11')","('Coated manjas openly sold online', 'the times of india', '2017-01-11')",S->n-r,S,n-r,Regulated Goods & Services_Regulated Goods,Regulatory Inquiry,"Amazon, ebay",https://timesofindia.indiatimes.com/city/nagpur/coated-manjas-openly-sold-online/articleshow/56428297.cms,,,,,
43993,"Des "" diamants du sang "" de Centrafrique sur Facebook","('Des "" diamants du sang "" de Centrafrique sur Facebook', 'le monde', '2017-06-23')","('Des "" diamants du sang "" de Centrafrique sur Facebook', 'le monde', '2017-06-23')",n-r->n-r,n-r,n-r,Regulated Goods & Services_Regulated Goods,,"Facebook, WhatsApp",https://www.lemonde.fr/afrique/article/2017/06/22/comment-acheter-sans-peine-des-diamants-du-sang-sur-facebook-et-whatsapp_5149363_3212.html,,,,,
25886,"Drugs being offered for sale via social media messaging apps, police warn","('Drugs being offered for sale via social media messaging apps, police warn', 'irish examiner', '2023-10-11')","('Drugs being offered for sale via social media messaging apps, police warn', 'irish examiner', '2023-10-11')",n-r->n-r,n-r,n-r,Regulated Goods & Services_Regulated Goods,Legal Action,Messaging app / Social media messaging app,https://www.irishexaminer.com/news/arid-41245483.html,,,,,
64037,Five more arrested in ganja smuggling case through e-commerce platform,"('Five more arrested in ganja smuggling case through e-commerce platform', 'the times of india', '2021-11-30')","('Five more arrested in ganja smuggling case through e-commerce platform', 'the times of india', '2021-11-30')",n-r->n-r,n-r,n-r,Regulated Goods & Services_Regulated Goods,Legal Action,E-commerce,https://timesofindia.indiatimes.com/city/visakhapatnam/five-more-arrested-in-ganja-smuggling-case-through-e-commerce-platform/articleshow/87968145.cms,,14,,,
65354,Gujarat FDCA plans crackdown on online drug selling firms,"('Gujarat FDCA plans crackdown on online drug selling firms', 'the times of india', '2015-05-10')","('Gujarat FDCA plans crackdown on online drug selling firms', 'the times of india', '2015-05-10')",1-r->n-r,1-r,n-r,Regulated Goods & Services_Regulated Goods,Legal Action,SnapDeal,https://timesofindia.indiatimes.com/india/gujarat-fdca-plans-crackdown-on-online-drug-selling-firms/articleshow/47213149.cms,,,,,
