Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
10851,"GodMode' access is still a problem at Twitter, another whistleblower alleges","(''GodMode' access is still a problem at Twitter, another whistleblower alleges', 'the washington post', '2023-01-24')","(''GodMode' access is still a problem at Twitter, another whistleblower alleges', 'the washington post', '2023-01-24')",S->n-r,S,n-r,Scaled Abuse_Hacking,Whistleblow,Twitter,https://www.washingtonpost.com/politics/2023/01/24/godmode-access-is-still-problem-twitter-another-whistleblower-alleges/,트위터 godmode의 악용,,,,
30179,‘I can’t be that careless’: Australian Uyghur activist targeted online,"('‘I can’t be that careless’: Australian Uyghur activist targeted online', 'the guardian', '2021-05-15')","('‘I can’t be that careless’: Australian Uyghur activist targeted online', 'the guardian', '2021-05-15')",n-r->1-r,n-r,1-r,Scaled Abuse_Malware,Protective Measures,Facebook,https://www.theguardian.com/world/2021/may/16/i-cant-be-that-careless-australian-uyghur-activist-targeted-online,,,,,"가짜 계정으로 링크 열게 해서, 랜섬웨어 설치 -> 이에 대한 보호 조치 사용"
53885,Our pain for their gain': the American activists manipulated by Russian trolls,"(''Our pain for their gain': the American activists manipulated by Russian trolls', 'the guardian', '2017-10-21')","(''Our pain for their gain': the American activists manipulated by Russian trolls', 'the guardian', '2017-10-21')",n-i->n-r,n-i,n-r,Scaled Abuse_Inauthentic Behavior,Misinformation leg to action,Facebook,https://www.theguardian.com/world/2017/oct/21/russia-social-media-activism-blacktivist,,,,,
7930,"‘Troll factory’ spreading Russian pro-war lies online, says UK","('‘Troll factory’ spreading Russian pro-war lies online, says UK', 'the guardian', '2022-05-03')","('‘Troll factory’ spreading Russian pro-war lies online, says UK', 'the guardian', '2022-05-03')",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,,Twitter,https://www.theguardian.com/world/2022/may/01/troll-factory-spreading-russian-pro-war-lies-online-says-uk,using bot for disinformation,,,,
54967,An army of fake Twitter accounts invades Ireland. What is their purpose?,"('An army of fake Twitter accounts invades Ireland. What is their purpose?', 'irish times', '2017-10-28')","('An army of fake Twitter accounts invades Ireland. What is their purpose?', 'irish times', '2017-10-28')",n-r->1-r,n-r,1-r,Scaled Abuse_Inauthentic Behavior,Protective Measures,Twitter,https://www.irishtimes.com/culture/tv-radio-web/an-army-of-fake-twitter-accounts-invades-ireland-why-1.3271340,,,,,
52743,Baijal's Twitter account hacked,"('Baijal's Twitter account hacked', 'the times of india', '2018-02-28')","('Baijal's Twitter account hacked', 'the times of india', '2018-02-28')",1-r->1-i,1-r,1-i,Scaled Abuse_Hacking,,Twitter,https://economictimes.indiatimes.com/news/politics-and-nation/delhi-lg-anil-baijals-twitter-handle-hacked-official/articleshow/63101502.cms?from=mdr,,,,,
17129,Be wary of buying Facebook 'friends',"('Be wary of buying Facebook 'friends'', 'the washington post', '2012-03-05')","('Be wary of buying Facebook 'friends'', 'the washington post', '2012-03-05')",S->1-i,S,1-i,Scaled Abuse_Inauthentic Behavior,,Facebook,https://www.washingtonpost.com/business/on-small-business/buying-facebook-friends-should-you-do-it/2012/02/23/gIQA1cJtgR_story.html,좋아요 구매,,,,
2046,"Bots of the Internet, Reveal Yourselves!","('Bots of the Internet, Reveal Yourselves!', 'new york times', '2018-07-16')","('Bots of the Internet, Reveal Yourselves!', 'new york times', '2018-07-16')",n-r->S,n-r,S,Scaled Abuse_Inauthentic Behavior,"Protective Measures, Legal Action",Twitter,https://www.nytimes.com/2018/07/16/style/how-to-regulate-bots.html,자동화 봇 이야기가 점점 많아짐,,,,
40160,Can Social Media Alter a War? A 2019 experiment exploited Facebook and Instagram to manipulate soldiers.,"('Can Social Media Alter a War? A 2019 experiment exploited Facebook and Instagram to manipulate soldiers.', 'wall street journal', '2022-01-02')","('Can Social Media Alter a War? A 2019 experiment exploited Facebook and Instagram to manipulate soldiers.', 'wall street journal', '2022-01-02')",n-r->n-r,n-r,n-r,Scaled Abuse_Inauthentic Behavior,Manipulate Behavior,"Facebook, Instagram",https://www.wsj.com/opinion/can-social-media-alter-a-war-nato-russian-bots-colonial-pipeline-national-security-ukraine-cyberwarfare-hack-invasion-11641130267,,,,,
9514,"China Extends Military Exercises as Taiwan Battles Cyberattacks; University websites and 7-Eleven stores have been affected, in some cases to hurl insults at U.S. House Speaker Nancy Pelosi","('China Extends Military Exercises as Taiwan Battles Cyberattacks; University websites and 7-Eleven stores have been affected, in some cases to hurl insults at U.S. House Speaker Nancy Pelosi', 'wall street journal', '2022-08-08')","('China Extends Military Exercises as Taiwan Battles Cyberattacks; University websites and 7-Eleven stores have been affected, in some cases to hurl insults at U.S. House Speaker Nancy Pelosi', 'wall street journal', '2022-08-08')",1-i->1-i,1-i,1-i,Scaled Abuse_Hacking,,Online,https://www.wsj.com/world/china/china-extends-military-exercises-as-taiwan-battles-cyberattacks-11659969484,"사이버 대전 (중국, 대만)",,,,
