Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,비고
46168,A crime scene of unspeakable horror': child sex abuse and the internet,"(''A crime scene of unspeakable horror': child sex abuse and the internet', 'the guardian', '2016-05-31')","(''A crime scene of unspeakable horror': child sex abuse and the internet', 'the guardian', '2016-05-31')",n-r->n-r,n-r,n-r,Violent & Criminal Behavior_Child Abuse&Nudity,"Legal Action, Protective Measure",Online,https://www.theguardian.com/society/2016/may/31/a-scene-of-unspeakable-horror-child-sex-abuse-and-the-internet,,,,,
60505,1 booked for faking girl's Facebook profile,"('1 booked for faking girl's Facebook profile', 'the times of india', '2011-09-18')","('1 booked for faking girl's Facebook profile', 'the times of india', '2011-09-18')",1-r->1-r,1-r,1-r,Violent & Criminal Behavior_Sexual Exploitation,Legal Action,Facebook,https://timesofindia.indiatimes.com/india/1-booked-for-faking-girls-facebook-profile/articleshow/10014146.cms,,,,,
20243,20 school girls held in online sex racket in China,"('20 school girls held in online sex racket in China', 'the hindustan times', '2011-11-09')","('20 school girls held in online sex racket in China', 'the hindustan times', '2011-11-09')",n-r->n-r,n-r,n-r,Violent & Criminal Behavior_Child Abuse&Nudity,Legal Action,Online,https://www.hindustantimes.com/world/20-school-girls-held-in-online-sex-racket-in-china/story-qeSQbDkHpmE34SZq2Hmg7H.html,,,,,
16126,"A U.S. Reply, in English, to Terrorists’ Online Lure","('A U.S. Reply, in English, to Terrorists’ Online Lure', 'new york times', '2013-12-04')","('A U.S. Reply, in English, to Terrorists’ Online Lure', 'new york times', '2013-12-04')",1-i->n-r,1-i,n-r,Violent & Criminal Behavior_Dangerous Organizations,Protective Measures,Online,https://www.nytimes.com/2013/12/05/world/middleeast/us-aims-to-blunt-terrorist-recruiting-of-english-speakers.html,,,,,
1537,"Aasiya Andrabi raided cyber cafes, but now uses Twitter freely","('Aasiya Andrabi raided cyber cafes, but now uses Twitter freely', 'the times of india', '2018-07-07')","('Aasiya Andrabi raided cyber cafes, but now uses Twitter freely', 'the times of india', '2018-07-07')",1-i->n-r,1-i,n-r,Violent & Criminal Behavior_Dangerous Organizations,,Twitter,https://timesofindia.indiatimes.com/india/she-raided-cyber-cafes-but-now-uses-twitter-freely/articleshow/64891427.cms,,,,,
54491,Ajmer dargah committee seeks more security after threat video,"('Ajmer dargah committee seeks more security after threat video', 'the times of india', '2017-12-28')","('Ajmer dargah committee seeks more security after threat video', 'the times of india', '2017-12-28')",1-r->n-r,1-r,n-r,Violent & Criminal Behavior_Violence,Legal Action,Online,https://timesofindia.indiatimes.com/city/ajmer/ajmer-dargah-committee-seeks-more-security-after-threat-video/articleshow/62281840.cms,,,,,
9410,"Amid social media-inspired thefts of Hyundais and Kias, Lincolnwood police providing locks","('Amid social media-inspired thefts of Hyundais and Kias, Lincolnwood police providing locks', 'chicago tribune', '2022-09-20')","('Amid social media-inspired thefts of Hyundais and Kias, Lincolnwood police providing locks', 'chicago tribune', '2022-09-20')",n-r->n-r,n-r,n-r,Violent & Criminal Behavior_Illegal Behavior,Protective Measures,TikTok,https://www.chicagotribune.com/2022/09/20/amid-social-media-inspired-thefts-of-hyundais-and-kias-lincolnwood-police-providing-locks/,확산된 범죄 방법 - 절도 방지 물품 제공,,,,
62362,Another city businessman gets extortion threat via video,"('Another city businessman gets extortion threat via video', 'the times of india', '2023-02-09')","('Another city businessman gets extortion threat via video', 'the times of india', '2023-02-09')",n-r->1-r,n-r,1-r,Violent & Criminal Behavior_Violence,Legal Action,Whatsapp,https://timesofindia.indiatimes.com/city/jaipur/another-city-businessman-gets-extortion-threat-via-video/articleshow/97752826.cms,,,,,
36497,At Least Three People Shot at Arizona Shopping Center; Suspected gunman taken into custody after shooting at shopping center in suburban Phoenix; police are looking into a video posted on Snapchat,"('At Least Three People Shot at Arizona Shopping Center; Suspected gunman taken into custody after shooting at shopping center in suburban Phoenix; police are looking into a video posted on Snapchat', 'wall street journal', '2020-05-21')","('At Least Three People Shot at Arizona Shopping Center; Suspected gunman taken into custody after shooting at shopping center in suburban Phoenix; police are looking into a video posted on Snapchat', 'wall street journal', '2020-05-21')",1-r->n-r,1-r,n-r,Violent & Criminal Behavior_Violence,Violent Behavior,Snapchat,https://www.wsj.com/articles/at-least-three-people-shot-at-arizona-shopping-center-11590037688,범행예고,,,,
3433,Bhojpuri filmmaker arrested for spreading nude scenes of an actress on social media,"('Bhojpuri filmmaker arrested for spreading nude scenes of an actress on social media', 'the times of india', '2018-04-05')","('Bhojpuri filmmaker arrested for spreading nude scenes of an actress on social media', 'the times of india', '2018-04-05')",1-r->1-i,1-r,1-i,Violent & Criminal Behavior_Sexual Exploitation,Legal Action,Youtube,https://www.indiatoday.in/india/story/bhojpuri-film-producer-arrested-for-circulating-obscene-clips-of-actress-1203348-2018-04-02,,,,,
