Number,Title,Publication Title,Date,predicted_code,additional_entries
0,Netizens 'sad &amp; hurt' at Paresh Rawal's fish comment,the times of india,2022-12-04,1,"(Netizens 'sad &amp; hurt' at Rawal's fish comment, the times of india, 2022-12-03)"
1,"Indignation in Punjab over dera chief Gurmeet Ram Rahim's parole, online satsangs",the times of india,2022-11-02,2,
2,The Try Guys and the Prison of Online Fame,new york times,2022-10-25,3,
3,Billionaire-owned platforms lose sight of the vulnerable,irish times,2022-10-27,4,
4,House Democrats seek to censure Marjorie Taylor Greene over ‘Biden is Hitler’ comment,the washington post,2022-10-07,5,
5,Bihar: Govt medical officer consumes liquor; case registered after viral video,the hindustan times,2022-11-17,6,
6,Bernie Sanders and the Inflation Blame Game; Some Twitter users aren't buying his Bidenesque explanation.,wall street journal,2022-10-25,7,
7,"A ‘good’ war gave the algorithm its opening, but dangers lurk",the washington post,2022-12-20,8,
8,"Twitter discussion erupts after condoms, contraceptives found in students' bag",the hindustan times,2022-12-01,9,
9,Quotation of the Day: Musk Is Asked to Remove Antisemitic Posts on Website,new york times,2022-11-01,10,"(Musk is wrecking speech moderation on Twitter. There’s an alternative., the washington post, 2022-11-12), (Security Training Group Asks Musk to Rid Twitter of Antisemitism, new york times, 2022-11-01), (Twitter's Moderation Boss Is an Unlikely Ally of Elon Musk; Yoel Roth, who has been accused in the past of being anticonservative, is tasked with policing the site's content, wall street journal, 2022-11-10), (Op-Ed: How Elon Musk's plans for Twitter could threaten free speech, los angeles times, 2022-10-27), (How Elon Musk's plans for Twitter could threaten free speech; If he lets disinformation run wild, users will lose a fundamental right., los angeles times, 2022-10-27), (Elon Musk declares Twitter ‘moderation council’ – as some push the platform’s limits, the guardian, 2022-10-31), (Musk Is Asked to Remove Antisemitic Posts on Website, new york times, 2022-11-02), (Twitter suspende el pago por verificación tras el caos de la avalancha de impostores, el pais, 2022-11-12), (Elon Musk Ends Twitter Remote Work as Senior Departures Prompt FTC Concern; Chief information security officer and privacy officer are leaving; FTC says it's tracking developments, wall street journal, 2022-11-10), (Musk's warning on 'parody' as account of user impersonating him is suspended, the hindustan times, 2022-11-07), (Journalists who won’t delete Musk tweets remain locked out of Twitter, the washington post, 2022-12-23), (Twitter suspends US comedian's account permanently. Elon Musk gives this reason, the hindustan times, 2022-11-07), (A warning on Twitter 'parody' as account of user impersonating Musk is suspended, the hindustan times, 2022-11-07), (Elon Musk's Jet Has a Twitter Account Tracking It Again—With a 24-Hour Delay; Jack Sweeney's initial, real-time tracking account was suspended Dec. 14, wall street journal, 2022-12-23), (Account that posted 'Lollipop Lagelu' in Elon Musk's name suspended, the hindustan times, 2022-11-06), (Musk promises to investigate Twitter suspension of far-right Brazilian figures, the guardian, 2022-11-07), (Elon Musk’s planned Twitter layoffs are imminent, the washington post, 2022-10-29), (Musk’s Trump-style management rattles Twitter workers awaiting layoffs, the washington post, 2022-11-03), (Elon Musk Says Twitter Has Had Massive Revenue Drop as Layoffs Begin; Chief of social-media company cites activist groups pressuring advertisers, as many staffers brace to lose jobs, wall street journal, 2022-11-05), (Twitter Drafts Broad Job Layoffs in Elon Musk's First Week as Owner; Some employees say they are concerned layoffs could come ahead of vesting date for employee stock grants, wall street journal, 2022-10-31), (Elon Musk announces Twitter mass layoffs to begin Friday, the guardian, 2022-11-04), (Twitter Is Drafting Broad Job Cuts in Whirlwind First Weekend Under Elon Musk; Some employees say they are concerned layoffs could come ahead of vesting date for employee stock grants, wall street journal, 2022-10-30), (THE NATION; Musk finalizes Twitter deal; staff is uneasy; Rank-and-file employees brace for massive layoffs after top execs are fired., los angeles times, 2022-10-28), (Twitter sued by former staff as Elon Musk begins mass sackings, the guardian, 2022-11-04), (Elon Musk begins mass layoffs at Twitter, the washington post, 2022-11-04), (Elon Musk’s Twitter layoffs, explained, the washington post, 2022-11-04), (Jewish leaders call on GOP candidates to reject antisemitic comments, the washington post, 2022-11-02), (Twitter Stops Giving Out Blue Check Marks After Impersonators Take to the Platform; The company's 'Twitter Blue' service, where a user could pay $7.99 a month for verification, no longer appears in iPhone apps, wall street journal, 2022-11-12), (BUSINESS; Possible new Twitter fee criticized; Elon Musk is floating big changes, such as a monthly $20 charge for verified users., los angeles times, 2022-11-01), (Musk proposes charging $8 for verified Twitter account despite user backlash, the guardian, 2022-11-01), (More confusion at Twitter as Blue subscription vanishes one day after launch, irish examiner, 2022-11-11), (Twitter Rollout Out of Blue Check Mark Service Hits Snags; Elon Musk's first big change for users of the social-media platform criticized for implementation woes, wall street journal, 2022-11-06), (Twitter a bit too blue as fake users get 'ticks', the daily telegraph, 2022-11-11), (Elon Musk responds to backlash over $8 fee for Twitter blue tick: 'Continue complaining, but...', the hindustan times, 2022-11-02), (Twitter battles fake verified accounts hours after new Blue subscription release, the times of india, 2022-11-11), (Twitter Blue halted as fake accounts plague platform, the washington post, 2022-11-12), (Twitter Rollout of Blue Check Mark Service Hits Snags; Elon Musk's first big change for users of the social-media platform criticized for implementation woes, wall street journal, 2022-11-07), (Twitter’s method of lay-offs for the birds, irish times, 2022-11-05), (Twitter has a consistent ability to reveal people at their absolute worst, irish times, 2022-11-05), (Twitter is a skirmish in the right’s war on the media and ‘elites’, the washington post, 2022-10-28), (Suddenly, Twitter Has an Existential Crisis, wall street journal, 2022-11-12), (Sometimes I just want to share rude stories with a large number of people – and that’s why I am not leaving Twitter, the guardian, 2022-11-08), (Twitter turmoil could be exploited by terrorists, experts warn, irish examiner, 2022-11-11), (Users can leave before Twitter degenerates further, the washington post, 2022-11-07), (Musk llega a Twitter cortando cabezas, el pais, 2022-10-29), (Despidos masivos, caos, descontrol y desafíos: la llegada de Elon Musk a Twitter, new york times, 2022-11-13), (Elon Musk no tiene idea de lo que está haciendo en Twitter, new york times, 2022-11-13), (Musk planea echar a 3.700 personas en Twitter, casi la mitad de la plantilla, el pais, 2022-11-04), (Twitter cierra todas sus sedes para acometer despidos masivos, el pais, 2022-11-05), (Elon Musk ejecuta a puerta cerrada sus despidos masivos Twitter comunica por correo a cada trabajador si conserva el empleo, el pais, 2022-11-05), (Los sindicatos denuncian el cese de casi toda la plantilla de Twitter en España, el pais, 2022-11-07), (Los sindicatos denuncian el despido de casi toda la plantilla de Twitter en España CC OO y UGT afirman que la veintena de ceses son nulos y anuncian demandas, el pais, 2022-11-07), (El Twitter de Musk albergará más odio, el pais, 2022-11-10), (ANATOMÍA DE TWITTER / REBECA CARRANCO Acrósticos para los troles de Musk Twitter anda revuelto. La ..., el pais, 2022-11-07), (La fuga de anunciantes lleva a Musk a defender la moderación de los tuits El nuevo propietario asegura que Twitter pierde más de cuatro millones de dólares al día, el pais, 2022-11-06), (Komplettes Chaos bei Twitter, die tageszeitung, 2022-11-08), (Chez Twitter, Elon Musk lance les licenciements… par courriel, le monde, 2022-11-05), (Twitter : Elon Musk licencie brutalement la moitié des salariés, le monde, 2022-11-07), (Twitter: Fake-News-Welle und Warnung an Musk, die tageszeitung, 2022-11-14), (Column: Elon Musk takes Twitter exactly where we thought he would — into the sewer, los angeles times, 2022-10-30), (Racist tweets quickly surface after Musk closes Twitter deal, the washington post, 2022-10-28), (Elon Musk's pay-to-play strategy will make Twitter too clubby, the straits times, 2022-11-04), (Chaos unleashed: Elon Musk’s wild ride at helm of Twitter could bring it down, the guardian, 2022-11-12), (Notable &amp; Quotable: Musk Takes the Reins at Twitter; 'Stay focused on eradicating billionaires forever. And, if you have the misfortune of working at Twitter, get yourself a union as soon as possible.', wall street journal, 2022-10-31), (‘What does a tosh look like?’: Musk responds to minister’s Twitter gripe, the guardian, 2022-11-10), (Twitter fakery is price of Musk’s vanity, irish times, 2022-11-12), (Elon Musk’s Twitter is a safe space for bros who think they’re funny, the washington post, 2022-11-07), (Two Weeks of Chaos: Inside Elon Musk’s Takeover of Twitter, the new york times, 2022-11-13), (The hidden danger lurking behind Elon Musk’s Twitter takeover, the washington post, 2022-10-28), (Suddenly, Elon Musk's Twitter Has an Existential Crisis; His readiness to invest more money is laudable but he might tame his mouth too., wall street journal, 2022-11-11), (Mick Clifford: Elon Musk's takeover of Twitter is a real-life horror worthy of Stephen King, irish examiner, 2022-11-05), (The online world was broken long before Elon Musk, irish times, 2022-11-05), (Elon Musk Has No Idea What He’s Doing at Twitter, new york times, 2022-11-10), (Elon Musk’s confused, self-serving vision of journalism on Twitter, the washington post, 2022-11-07), (A Porcelain Sink, Then Chaos: Inside the Takeover of Twitter, new york times, 2022-11-12), (The year in tech: Elon Musk’s chaotic Twitter takeover, irish examiner, 2022-12-24), (Op-Ed: Elon Musk's Twitter shows its dark side, los angeles times, 2022-11-08), (Musk's Twitter drama depletes his stature, the washington post, 2022-12-25), (Musk will find Twitter is a poisoned chalice, the daily telegraph, 2022-11-01), (Elon Musk, in a Tweet, Shares Link From Site Known to Publish False News, new york times, 2022-10-30), (Antisemitic campaign tries to capitalize on Elon Musk’s Twitter takeover., new york times, 2022-10-28), (A Verified Mess: Turmoil From Twitter to FTX, new york times, 2022-11-11), (Elon Musk Raises Specter of Twitter Bankruptcy Amid Executive Turmoil; Billionaire owner warns of dire economic challenges; senior security chiefs depart, inviting regulatory scrutiny, wall street journal, 2022-11-11), (Musk's Twitter deal spells disaster, the daily telegraph, 2022-11-05), (Elon Musk's Twitter is a safe space for unfunny bros, the washington post, 2022-11-07), (Muskian Twitter May Create Problems for Musk, the times of india, 2022-10-29), (Elon Musk’s Twitter Train Wreck Has Global Implications, new york times, 2022-11-14), (Elon Musk completes Twitter takeover amid hate speech concerns, the guardian, 2022-10-29), (Op-Ed: Elon Musk mistook Twitter for the real world, los angeles times, 2022-11-08), ('Sends and spews lies': Joe Biden slams Elon Musk's acquisition of Twitter, the hindustan times, 2022-11-05), (Misleading Tweets Abound as Musk Lifts Bans on Users, new york times, 2022-12-23), (EU's fix for social media is a nightmare for free speech, los angeles times, 2022-12-23), (Journalists' Twitter saga is not over, the washington post, 2022-12-24), (Are You 'Extremely Hardcore' or Not? How Elon Musk Is Dividing Silicon Valley's Elite; Debates about the Twitter (and Tesla! and SpaceX!) leader's management are spilling out into public. 'This isn't business for them—it's personal, it's political, it's philosophical.', wall street journal, 2022-12-24), (Threats on social media against reality show contestant, the times of india, 2022-11-10)"
